age,p(x|Y=0),p(x|Y=1),Λ(x),P(Y=0|x),P(Y=1|x),decisão
20.00000000,0.00461202,0.00705535,1.52977410,0.83374256,0.16625744,0
40.00000000,0.03949959,0.03003897,0.76048806,0.90980876,0.09019124,0
60.00000000,0.00650851,0.01227874,1.88656702,0.80261968,0.19738032,0
80.00000000,0.00002063,0.00048186,23.35429749,0.24726107,0.75273893,1
